Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.480929Z  INFO gud_drm: frame_stats payload_seq=223 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=903708 output_bytes=1843200 read_size=903708 read_calls=1 first_request_bytes=903708 last_request_bytes=903708 usb_packets_est=1766 compression=1 ratio=2.04 recv_ms=25 decompress_ms=13 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=34.47
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.481076Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=223 accepted_transactions=223 rejected_busy_transactions=0 aio_submission_attempts=223 aio_accepted=223 aio_completed=223 processing_started=223 processing_completed=223 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=223 last_sequence=223 validation_to_aio_accept_ms_total=2 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1505 processing_ms_total=1183 complete_transaction_ms_total=1183
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.524089Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=224 receiver_state=InFlight
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.564526Z  INFO gud_drm: frame_stats payload_seq=224 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=903341 output_bytes=1843200 read_size=903341 read_calls=1 first_request_bytes=903341 last_request_bytes=903341 usb_packets_est=1765 compression=1 ratio=2.04 recv_ms=25 decompress_ms=13 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=34.46
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.564675Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=224 accepted_transactions=224 rejected_busy_transactions=0 aio_submission_attempts=224 aio_accepted=224 aio_completed=224 processing_started=224 processing_completed=224 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=224 last_sequence=224 validation_to_aio_accept_ms_total=2 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1530 processing_ms_total=1198 complete_transaction_ms_total=1198
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.603672Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=225 receiver_state=InFlight
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.642790Z  INFO gud_drm: frame_stats payload_seq=225 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=903341 output_bytes=1843200 read_size=903341 read_calls=1 first_request_bytes=903341 last_request_bytes=903341 usb_packets_est=1765 compression=1 ratio=2.04 recv_ms=24 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=35.90
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.642931Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=225 accepted_transactions=225 rejected_busy_transactions=0 aio_submission_attempts=225 aio_accepted=225 aio_completed=225 processing_started=225 processing_completed=225 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=225 last_sequence=225 validation_to_aio_accept_ms_total=3 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1554 processing_ms_total=1213 complete_transaction_ms_total=1213
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.672517Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=226 receiver_state=InFlight
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.711389Z  INFO gud_drm: frame_stats payload_seq=226 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=903341 output_bytes=1843200 read_size=903341 read_calls=1 first_request_bytes=903341 last_request_bytes=903341 usb_packets_est=1765 compression=1 ratio=2.04 recv_ms=24 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=35.90
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.711529Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=226 accepted_transactions=226 rejected_busy_transactions=0 aio_submission_attempts=226 aio_accepted=226 aio_completed=226 processing_started=226 processing_completed=226 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=226 last_sequence=226 validation_to_aio_accept_ms_total=4 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1578 processing_ms_total=1228 complete_transaction_ms_total=1228
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.743020Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=227 receiver_state=InFlight
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.782029Z  INFO gud_drm: frame_stats payload_seq=227 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=903341 output_bytes=1843200 read_size=903341 read_calls=1 first_request_bytes=903341 last_request_bytes=903341 usb_packets_est=1765 compression=1 ratio=2.04 recv_ms=24 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=35.90
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.782178Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=227 accepted_transactions=227 rejected_busy_transactions=0 aio_submission_attempts=227 aio_accepted=227 aio_completed=227 processing_started=227 processing_completed=227 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=227 last_sequence=227 validation_to_aio_accept_ms_total=5 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1602 processing_ms_total=1243 complete_transaction_ms_total=1243
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.826968Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=228 receiver_state=InFlight
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.866848Z  INFO gud_drm: frame_stats payload_seq=228 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=903310 output_bytes=1843200 read_size=903310 read_calls=1 first_request_bytes=903310 last_request_bytes=903310 usb_packets_est=1765 compression=1 ratio=2.04 recv_ms=25 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=34.46
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.866992Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=228 accepted_transactions=228 rejected_busy_transactions=0 aio_submission_attempts=228 aio_accepted=228 aio_completed=228 processing_started=228 processing_completed=228 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=228 last_sequence=228 validation_to_aio_accept_ms_total=6 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=1627 processing_ms_total=1258 complete_transaction_ms_total=1258
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.906082Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=229 receiver_state=InFlight
Aug 24 02:16:34 raspberrypi gud-drm-e2-direct-rgb565[3361]: 2026-08-24T01:16:34.945375Z  INFO gud_drm: frame_stats payload_seq=229 transfer_format=rgb565 gud_format=0x40 bytes_per_pixel=2 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=903310 output_bytes=1843200 read_size=903310 read_calls=1 first_request_bytes=903310 last_request_bytes=903310 usb_packets_est=1765 compression=1 ratio=2.04 recv_ms=25 decompress_ms=12 copy_ms=2 scale_ms=0 flush_ms=0 total_ms=15 usb_mib_s=34.46
