Aug 23 23:37:11 raspberrypi gud-drm[1589]: 2026-08-23T22:37:11.957001Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=455 receiver_state=InFlight
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.055290Z  INFO gud_drm: frame_stats payload_seq=455 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=97 decompress_ms=0 copy_ms=3 scale_ms=0 flush_ms=0 total_ms=3 usb_mib_s=36.24
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.055414Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=455 accepted_transactions=455 rejected_busy_transactions=0 aio_submission_attempts=455 aio_accepted=455 aio_completed=455 processing_started=455 processing_completed=455 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=455 last_sequence=455 validation_to_aio_accept_ms_total=1587 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=45642 processing_ms_total=1823 complete_transaction_ms_total=1824
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.060838Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=456 receiver_state=InFlight
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.159632Z  INFO gud_drm: frame_stats payload_seq=456 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=98 decompress_ms=0 copy_ms=3 scale_ms=0 flush_ms=0 total_ms=3 usb_mib_s=35.87
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.159744Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=456 accepted_transactions=456 rejected_busy_transactions=0 aio_submission_attempts=456 aio_accepted=456 aio_completed=456 processing_started=456 processing_completed=456 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=456 last_sequence=456 validation_to_aio_accept_ms_total=1589 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=45740 processing_ms_total=1826 complete_transaction_ms_total=1827
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.165566Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=457 receiver_state=InFlight
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.266444Z  INFO gud_drm: frame_stats payload_seq=457 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=100 decompress_ms=0 copy_ms=3 scale_ms=0 flush_ms=0 total_ms=3 usb_mib_s=35.16
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.266553Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=457 accepted_transactions=457 rejected_busy_transactions=0 aio_submission_attempts=457 aio_accepted=457 aio_completed=457 processing_started=457 processing_completed=457 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=457 last_sequence=457 validation_to_aio_accept_ms_total=1592 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=45840 processing_ms_total=1829 complete_transaction_ms_total=1830
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.272238Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=458 receiver_state=InFlight
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.369242Z  INFO gud_drm: frame_stats payload_seq=458 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=96 decompress_ms=0 copy_ms=3 scale_ms=0 flush_ms=0 total_ms=3 usb_mib_s=36.62
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.369364Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=458 accepted_transactions=458 rejected_busy_transactions=0 aio_submission_attempts=458 aio_accepted=458 aio_completed=458 processing_started=458 processing_completed=458 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=458 last_sequence=458 validation_to_aio_accept_ms_total=1595 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=45936 processing_ms_total=1832 complete_transaction_ms_total=1833
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.374639Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=459 receiver_state=InFlight
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.471979Z  INFO gud_drm: frame_stats payload_seq=459 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=96 decompress_ms=0 copy_ms=3 scale_ms=0 flush_ms=0 total_ms=3 usb_mib_s=36.62
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.472095Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=459 accepted_transactions=459 rejected_busy_transactions=0 aio_submission_attempts=459 aio_accepted=459 aio_completed=459 processing_started=459 processing_completed=459 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=459 last_sequence=459 validation_to_aio_accept_ms_total=1598 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=46032 processing_ms_total=1835 complete_transaction_ms_total=1836
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.477262Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=460 receiver_state=InFlight
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.574535Z  INFO gud_drm: frame_stats payload_seq=460 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=96 decompress_ms=0 copy_ms=3 scale_ms=0 flush_ms=0 total_ms=3 usb_mib_s=36.62
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.574646Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=460 accepted_transactions=460 rejected_busy_transactions=0 aio_submission_attempts=460 aio_accepted=460 aio_completed=460 processing_started=460 processing_completed=460 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=460 last_sequence=460 validation_to_aio_accept_ms_total=1600 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=46128 processing_ms_total=1838 complete_transaction_ms_total=1839
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.580081Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=461 receiver_state=InFlight
Aug 23 23:37:12 raspberrypi gud-drm[1589]: 2026-08-23T22:37:12.677134Z  INFO gud_drm: frame_stats payload_seq=461 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=3686400 output_bytes=3686400 read_size=3686400 read_calls=1 first_request_bytes=3686400 last_request_bytes=3686400 usb_packets_est=7200 compression=0 ratio=1.00 recv_ms=96 decompress_ms=0 copy_ms=3 scale_ms=0 flush_ms=0 total_ms=3 usb_mib_s=36.62
