Aug 24 00:21:49 raspberrypi gud-drm[2360]: 2026-08-23T23:21:49.391682Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=819 accepted_transactions=819 rejected_busy_transactions=0 aio_submission_attempts=819 aio_accepted=819 aio_completed=819 processing_started=819 processing_completed=819 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=819 last_sequence=819 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24668 processing_ms_total=11064 complete_transaction_ms_total=11065
Aug 24 00:21:55 raspberrypi gud-drm[2360]: 2026-08-23T23:21:55.637211Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=820 receiver_state=InFlight
Aug 24 00:21:55 raspberrypi gud-drm[2360]: 2026-08-23T23:21:55.656675Z  INFO gud_drm: frame_stats payload_seq=820 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14493 output_bytes=3686400 read_size=14493 read_calls=1 first_request_bytes=14493 last_request_bytes=14493 usb_packets_est=29 compression=1 ratio=254.36 recv_ms=10 decompress_ms=4 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=9 usb_mib_s=1.38
Aug 24 00:21:55 raspberrypi gud-drm[2360]: 2026-08-23T23:21:55.656845Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=820 accepted_transactions=820 rejected_busy_transactions=0 aio_submission_attempts=820 aio_accepted=820 aio_completed=820 processing_started=820 processing_completed=820 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=820 last_sequence=820 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24678 processing_ms_total=11073 complete_transaction_ms_total=11074
Aug 24 00:21:56 raspberrypi gud-drm[2360]: 2026-08-23T23:21:56.654469Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=821 receiver_state=InFlight
Aug 24 00:21:56 raspberrypi gud-drm[2360]: 2026-08-23T23:21:56.674466Z  INFO gud_drm: frame_stats payload_seq=821 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14493 output_bytes=3686400 read_size=14493 read_calls=1 first_request_bytes=14493 last_request_bytes=14493 usb_packets_est=29 compression=1 ratio=254.36 recv_ms=10 decompress_ms=4 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=9 usb_mib_s=1.38
Aug 24 00:21:56 raspberrypi gud-drm[2360]: 2026-08-23T23:21:56.674624Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=821 accepted_transactions=821 rejected_busy_transactions=0 aio_submission_attempts=821 aio_accepted=821 aio_completed=821 processing_started=821 processing_completed=821 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=821 last_sequence=821 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24688 processing_ms_total=11082 complete_transaction_ms_total=11083
Aug 24 00:21:57 raspberrypi gud-drm[2360]: 2026-08-23T23:21:57.643656Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=822 receiver_state=InFlight
Aug 24 00:21:57 raspberrypi gud-drm[2360]: 2026-08-23T23:21:57.663710Z  INFO gud_drm: frame_stats payload_seq=822 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14493 output_bytes=3686400 read_size=14493 read_calls=1 first_request_bytes=14493 last_request_bytes=14493 usb_packets_est=29 compression=1 ratio=254.36 recv_ms=10 decompress_ms=4 copy_ms=5 scale_ms=0 flush_ms=0 total_ms=9 usb_mib_s=1.38
Aug 24 00:21:57 raspberrypi gud-drm[2360]: 2026-08-23T23:21:57.663880Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=822 accepted_transactions=822 rejected_busy_transactions=0 aio_submission_attempts=822 aio_accepted=822 aio_completed=822 processing_started=822 processing_completed=822 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=822 last_sequence=822 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24698 processing_ms_total=11091 complete_transaction_ms_total=11092
