timestamp,run,source_bytes,payload_bytes,rectangles,compressed,raw,planner_us,set_buffer_us,bulk_wait_us,transfer_us
6544.207167,managed-fullframe-lz4,3686400,2846013,1,1,0,74534,3509,70989,149888
6544.386124,managed-fullframe-lz4,3686400,2846013,1,1,0,78073,4255,70218,153336
6544.504505,managed-fullframe-lz4,3686400,2846013,1,1,0,39760,4187,70439,115228
6544.643469,managed-fullframe-lz4,3686400,2845965,1,1,0,39888,3661,70395,114796
6544.809333,managed-fullframe-lz4,3686400,2845821,1,1,0,64146,3997,70066,139032
6544.951333,managed-fullframe-lz4,3686400,2845983,1,1,0,63416,3809,70204,138399
6545.091275,managed-fullframe-lz4,3686400,2846115,1,1,0,62655,1742,70759,136013
6545.231285,managed-fullframe-lz4,3686400,2845968,1,1,0,61344,3845,70287,136299
6545.390076,managed-fullframe-lz4,3686400,2845726,1,1,0,59944,1322,70589,132668
6545.532929,managed-fullframe-lz4,3686400,2845726,1,1,0,62719,5282,70182,139041
6545.693162,managed-fullframe-lz4,3686400,2845726,1,1,0,60680,4142,70328,136024
6545.830099,managed-fullframe-lz4,3686400,2846034,1,1,0,59568,1957,70269,133094
6545.960167,managed-fullframe-lz4,3686400,2845917,1,1,0,50743,4067,70268,126010
6546.093836,managed-fullframe-lz4,3686400,2845917,1,1,0,57911,1132,70221,130130
6546.233471,managed-fullframe-lz4,3686400,2845881,1,1,0,60001,4236,70667,135707
6546.392416,managed-fullframe-lz4,3686400,2846065,1,1,0,59832,3797,70195,134662
6546.550256,managed-fullframe-lz4,3686400,2846257,1,1,0,60959,1809,70538,134101
6546.692360,managed-fullframe-lz4,3686400,2846234,1,1,0,63125,4039,70330,138389
6546.829839,managed-fullframe-lz4,3686400,2846181,1,1,0,61654,1623,69711,133812
6546.961555,managed-fullframe-lz4,3686400,2845784,1,1,0,49807,4753,70835,126336
6547.094351,managed-fullframe-lz4,3686400,2846206,1,1,0,54642,3563,70295,129309
6547.231478,managed-fullframe-lz4,3686400,2845956,1,1,0,59399,2359,70149,132897
6547.371851,managed-fullframe-lz4,3686400,2846192,1,1,0,61006,4043,70196,136042
6547.509862,managed-fullframe-lz4,3686400,2846216,1,1,0,61016,1458,70574,134123
6547.651057,managed-fullframe-lz4,3686400,2846132,1,1,0,62820,3747,70167,137523
6547.799988,managed-fullframe-lz4,3686400,2846140,1,1,0,49533,3634,70272,124364
6547.934712,managed-fullframe-lz4,3686400,2846244,1,1,0,57549,2022,70948,131291
6548.052784,managed-fullframe-lz4,3686400,2846093,1,1,0,39855,3730,69980,114485
6548.221747,managed-fullframe-lz4,3686400,2845986,1,1,0,69072,1478,70318,141643
6548.343938,managed-fullframe-lz4,3686400,2845986,1,1,0,39858,4248,70635,115591
6548.482970,managed-fullframe-lz4,3686400,2846020,1,1,0,39715,3720,70224,114505
6548.600959,managed-fullframe-lz4,3686400,2845944,1,1,0,39715,3748,70329,114562
6548.740152,managed-fullframe-lz4,3686400,2846146,1,1,0,39627,3860,70223,114533
6548.895169,managed-fullframe-lz4,3686400,2846306,1,1,0,58238,1570,70077,130970
6549.034095,managed-fullframe-lz4,3686400,2846112,1,1,0,59660,4092,70473,135087
6549.203499,managed-fullframe-lz4,3686400,2846155,1,1,0,68756,1274,70500,141354
6549.321534,managed-fullframe-lz4,3686400,2846697,1,1,0,39795,1798,70358,112785
6549.441682,managed-fullframe-lz4,3686400,2846836,1,1,0,39788,4452,71095,116324
6549.582863,managed-fullframe-lz4,3686400,2846569,1,1,0,39883,1093,70271,112043
6549.702560,managed-fullframe-lz4,3686400,2845992,1,1,0,39903,4825,70241,115789
6549.842838,managed-fullframe-lz4,3686400,2845857,1,1,0,40050,3647,71243,115786
6550.007506,managed-fullframe-lz4,3686400,2846066,1,1,0,65286,1855,70306,138486
6550.127020,managed-fullframe-lz4,3686400,2846071,1,1,0,39847,4032,70099,115203
